Complaint_Text,Department,Category,Status,City,Area,Priority
Pothole on main road,Roads,Infrastructure,Submitted,Chennai,T Nagar,High
Garbage not collected,Sanitation,Waste,In Progress,Chennai,Velachery,Medium
Street light not working,Electricity,Power,Submitted,Coimbatore,Gandhipuram,Low
Water leakage issue,Water,Supply,Resolved,Madurai,Anna Nagar,High
Drainage overflow,Sanitation,Waste,Submitted,Salem,Fairlands,High
Traffic signal not working,Traffic,Transport,In Progress,Erode,Bus Stand,Medium
Ambulance not available during emergency,Health,Medical,Submitted,Chennai,Perambur,High
Government hospital staff not responding,Health,Medical,In Progress,Madurai,KK Nagar,High
Street dogs barking loudly at night,Public Safety,Noise,Submitted,Coimbatore,RS Puram,Medium
Noise disturbance after midnight,Public Safety,Noise,In Progress,Salem,Hasthampatti,Medium
Frequent power cuts at night,Electricity,Power,Submitted,Erode,Solar,High
Transformer sparks near residential area,Electricity,Power,Submitted,Trichy,Srirangam,High
Bus service delayed daily,Transport,Public Transport,Submitted,Chennai,Guindy,Medium
Overcrowded buses during peak hours,Transport,Public Transport,In Progress,Tirunelveli,Palayamkottai,Medium
Potholes causing accidents,Traffic,Road Safety,Submitted,Vellore,Katpadi,High
No traffic police at busy junction,Traffic,Road Safety,Submitted,Coimbatore,Peelamedu,Medium
Water supply irregular in morning,Water,Supply,Submitted,Thanjavur,Medical College Road,Medium
Pipeline leakage near bus stop,Water,Supply,In Progress,Nagercoil,Vadasery,High
Garbage dumping near school area,Sanitation,Waste,Submitted,Chennai,Mylapore,High
Sewage smell in residential street,Sanitation,Waste,In Progress,Trichy,Thillai Nagar,Medium
Mosquito problem due to stagnant water,Health,Public Health,Submitted,Madurai,Goripalayam,High
Stray cattle blocking main road,Public Safety,Animal Control,Submitted,Tiruppur,Avinashi Road,Medium
Street lights damaged after rain,Electricity,Maintenance,Submitted,Kanchipuram,Ennaikaran,Low
Footpath encroachment by shops,Traffic,Urban Planning,Submitted,Chennai,T Nagar,Medium

